datetime,len_sum,smallest,largest,count_sum,0xffff,0xbfb8,0x0000,0xbfb8,0x0e91,0x0000,0x0e91,0xab52,0xab52,0x0cd0,0x0cd0,0x469a,0x469a,0x6493,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:16:49,11758,19,215,114,65,58,45,24,6,21,2,5,2,0,0,0,0,0,0,0,0
2021-02-03 07:24:49,13371,19,213,131,66,61,51,26,4,33,1,0,0,6,2,5,2,4,1,0,0
2021-02-03 07:32:49,14378,19,213,144,65,63,53,33,6,35,2,6,2,6,2,5,2,5,3,0,0
2021-02-03 07:40:49,15122,19,215,150,68,68,54,35,6,37,2,6,2,6,2,5,2,5,2,0,0
2021-02-03 07:48:49,15092,19,213,148,68,67,55,35,5,39,1,6,2,6,0,5,2,4,1,0,0
2021-02-03 07:56:49,10734,19,213,104,65,52,46,19,0,18,0,6,2,0,0,0,0,0,0,0,0
2021-02-03 08:04:49,15814,19,213,158,87,76,60,28,6,34,2,0,0,6,2,5,2,5,3,0,0
2021-02-03 08:12:49,13573,19,215,137,64,60,51,31,3,30,0,7,6,6,2,5,2,5,2,0,0
2021-02-03 08:20:49,14064,19,213,138,67,65,52,27,3,37,1,3,1,6,2,5,2,4,1,0,0
2021-02-03 08:28:49,15207,19,213,153,69,69,55,36,7,37,2,6,2,6,2,5,2,5,3,0,0
2021-02-03 08:36:49,12133,19,213,117,64,58,47,27,0,24,0,7,2,5,0,0,0,0,0,0,0
2021-02-03 08:44:49,12284,19,215,122,66,55,50,21,6,27,2,0,0,2,2,5,2,4,2,0,0
2021-02-03 08:52:49,13384,19,213,134,64,61,50,30,5,32,1,6,2,3,2,5,2,4,1,0,0
2021-02-03 09:00:49,14543,19,213,147,68,67,53,32,5,36,2,6,2,6,2,5,2,5,3,0,0
2021-02-03 09:08:49,17286,19,215,170,83,83,60,39,6,39,2,6,2,7,2,3,1,5,2,0,0
2021-02-03 09:16:49,17634,19,213,184,64,79,57,60,0,46,0,6,2,33,8,9,4,0,0,0,0
2021-02-03 09:24:49,13474,19,213,134,68,60,53,26,5,33,1,0,0,6,2,5,2,5,2,0,0
2021-02-03 09:32:49,14594,19,215,144,68,68,52,34,6,34,2,5,2,6,2,3,1,4,1,0,0
2021-02-03 09:40:49,14132,19,215,142,64,63,53,31,6,36,2,4,2,6,2,5,1,5,4,0,0
2021-02-03 09:48:49,13481,19,213,131,70,65,52,25,5,31,1,4,2,0,0,0,0,5,2,0,0
2021-02-03 09:56:49,12142,19,213,118,65,57,46,22,0,27,0,5,0,5,2,5,2,0,0,0,0
2021-02-03 10:04:49,13455,19,215,133,66,60,51,28,6,32,2,0,0,7,2,5,2,4,1,0,0
2021-02-03 10:12:49,16004,19,215,160,86,78,57,30,4,33,2,5,2,6,2,5,2,5,3,0,0
2021-02-03 10:20:49,14467,19,213,143,64,66,51,33,6,40,1,5,0,6,2,5,1,4,2,0,0
2021-02-03 10:28:49,12796,19,213,126,69,64,51,24,2,28,2,6,2,0,0,0,0,3,1,0,0
2021-02-03 10:36:49,17213,19,215,181,65,65,62,39,0,57,0,5,2,17,5,20,7,12,6,0,0
2021-02-03 10:44:49,12049,19,215,117,69,57,48,23,4,22,0,0,0,6,2,0,0,2,1,0,0
2021-02-03 10:52:49,12996,19,213,132,66,58,52,27,5,32,1,7,2,0,0,5,2,5,2,0,0
2021-02-03 11:00:49,14683,19,215,143,65,66,51,34,6,35,2,6,2,6,2,4,2,4,1,0,0
2021-02-03 11:08:49,15340,19,215,154,73,72,57,33,3,38,2,6,2,6,2,5,1,5,3,0,0
2021-02-03 11:16:49,14134,19,213,140,79,67,52,22,0,32,0,5,1,6,2,5,2,5,2,0,0
2021-02-03 11:24:49,12330,19,213,120,68,61,48,25,5,24,1,0,0,6,2,0,0,0,0,0,0
2021-02-03 11:32:49,16425,19,215,173,67,67,58,43,4,47,2,6,2,16,4,17,6,4,1,1,1
2021-02-03 11:40:49,13858,19,215,136,66,59,52,30,3,31,0,6,2,7,2,4,2,5,3,0,0
2021-02-03 11:48:49,13002,19,213,128,69,64,49,23,5,30,2,5,2,0,0,0,0,5,2,0,0
2021-02-03 11:56:49,17456,19,213,180,67,76,59,44,5,55,1,6,2,14,4,11,4,9,3,0,0
2021-02-03 12:04:49,9138,85,213,88,65,46,42,9,0,14,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 12:12:49,17364,19,215,170,86,86,60,33,3,41,2,5,2,6,2,5,2,5,2,0,0
2021-02-03 12:20:49,13872,19,213,140,65,63,53,32,4,35,1,5,2,6,2,5,2,4,1,0,0
2021-02-03 12:28:49,15399,19,213,155,68,70,56,36,7,40,2,6,2,6,2,5,2,5,3,0,0
2021-02-03 12:36:49,14617,19,215,143,66,67,50,32,5,36,2,6,2,7,2,4,1,4,2,0,0
2021-02-03 12:44:49,9148,85,213,88,64,47,41,9,0,15,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 12:52:49,21205,19,213,223,68,90,64,70,5,64,1,6,2,36,10,11,4,11,4,0,0
2021-02-03 13:00:49,10945,19,215,107,58,49,44,23,5,21,2,5,2,0,0,0,0,4,1,0,0
2021-02-03 13:08:49,36867,19,215,413,68,157,89,181,4,114,2,6,2,126,35,29,9,2,2,0,0
2021-02-03 13:16:49,24557,19,213,249,86,103,69,87,18,59,1,6,2,37,9,11,3,5,2,0,0
2021-02-03 13:24:49,10956,19,213,108,64,51,47,17,0,23,0,0,0,5,2,5,2,0,0,0,0
2021-02-03 13:32:49,15252,19,215,152,70,71,53,34,6,39,2,7,2,5,2,6,2,4,1,0,0
2021-02-03 13:40:49,15995,19,215,171,67,64,59,33,5,54,2,5,2,9,2,24,8,5,3,0,0
2021-02-03 13:48:49,14403,19,213,143,61,66,49,34,5,40,2,7,2,6,2,5,2,5,0,0,0
2021-02-03 13:56:49,15158,19,215,150,69,72,52,32,6,40,2,6,2,5,2,5,2,4,1,0,0
2021-02-03 14:04:49,9538,85,213,92,65,49,43,10,0,17,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 14:12:49,15626,19,215,154,68,69,55,37,7,39,2,7,2,6,2,5,1,5,3,0,0
2021-02-03 14:20:49,16445,19,213,163,86,80,58,34,5,35,1,6,2,5,2,4,1,5,2,0,0
2021-02-03 14:28:49,15202,19,215,150,67,71,53,33,5,41,2,7,2,5,2,5,2,4,1,0,0
2021-02-03 14:36:49,14318,19,215,142,67,64,53,29,3,35,2,6,1,6,2,5,2,5,4,0,0
2021-02-03 14:44:49,8658,85,173,84,60,45,39,9,0,15,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 14:52:49,14781,19,213,147,69,68,54,33,5,36,1,6,2,6,2,3,2,5,2,0,0
2021-02-03 15:00:49,14817,19,215,147,67,67,53,35,6,36,2,6,2,6,2,5,2,4,1,0,0
2021-02-03 15:08:49,28603,19,215,343,64,82,93,65,5,156,2,3,3,39,10,116,40,5,3,0,0
2021-02-03 15:16:49,18611,19,213,195,68,78,64,47,5,63,1,5,2,16,4,18,6,9,4,0,0
2021-02-03 15:24:49,18247,19,215,189,71,83,57,54,5,48,2,0,0,29,8,5,2,10,4,0,0
2021-02-03 15:32:49,13016,19,213,128,67,62,49,27,0,28,0,6,2,6,2,5,2,0,0,0,0
2021-02-03 15:40:49,14701,19,215,145,67,68,51,31,5,37,2,5,2,6,2,5,2,5,2,0,0
2021-02-03 15:48:49,12119,19,215,121,65,57,47,28,5,23,1,8,4,0,0,0,0,4,0,0,0
2021-02-03 15:56:49,13785,19,215,137,69,64,53,25,4,34,2,0,0,6,2,5,2,5,3,0,0
2021-02-03 16:04:49,18635,19,215,193,68,84,58,62,6,46,3,30,8,5,2,5,2,5,2,0,0
2021-02-03 16:12:49,11506,19,213,112,64,55,45,18,0,26,0,0,0,7,2,5,2,0,0,0,0
2021-02-03 16:20:49,13975,19,215,139,69,64,53,31,5,32,1,3,2,6,2,4,1,4,1,0,0
2021-02-03 16:28:49,14811,19,215,145,79,75,54,27,5,32,3,6,2,0,0,0,0,5,2,0,0
2021-02-03 16:36:49,14421,19,215,143,67,65,50,32,5,34,2,6,2,7,2,5,2,5,2,0,0
2021-02-03 16:44:49,19635,19,215,209,65,83,60,60,5,65,1,7,2,28,7,18,6,8,3,0,0
2021-02-03 16:52:49,10579,19,213,105,63,51,43,15,0,23,0,0,0,6,2,5,2,0,0,0,0
2021-02-03 17:00:49,15002,19,215,150,66,70,53,33,6,40,2,6,2,5,2,5,2,5,3,0,0
2021-02-03 17:08:49,12405,19,215,121,62,60,45,24,6,29,2,5,2,0,0,0,0,5,2,0,0
2021-02-03 17:16:49,14634,19,215,146,68,69,53,32,3,38,1,6,2,6,2,5,2,4,1,0,0
2021-02-03 17:24:49,11208,19,215,110,55,49,41,22,0,25,0,5,2,7,2,5,3,3,1,0,0
